layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.25,,,,,,,,,,,,,,,,,5.00E+01,1.00E+05,,,,,beer-lambert,erf-linear,left,1.00E+00
active,MAPICl,4.60E-05,500,0.8,-3.8,-5.4,-4.7,-4.7,5.00E+18,5.00E+18,5.00E+17,5.00E+17,1.00E+21,1.00E+21,1.00E+00,1.00E+00,1.00E-10,1.00E-10,2.50E+01,2.60E+21,1.00E-10,2.00E-07,2.00E-07,,,,1,1,1,,,,
active,MAPICl,4.00E-06,500,0.8,-3.8,-5.4,-4.7,-4.7,5.00E+18,5.00E+18,5.00E+17,5.00E+17,1.00E+21,1.00E+21,1.00E+00,1.00E+00,1.00E-10,1.00E-10,2.50E+01,2.60E+21,1.00E-10,2.00E-07,2.00E-07,,,,1,1,1,,,,
electrode,,,,,,,-4.25,,,,,,,,,,,,,,,,,1.00E+02,1.00E+01,,,,,,,,
