layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-0.9,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,uniform,erf-linear,left,0
active,Si,1.00E-02,500,0.7,0,-1.12,-0.9,-0.56,1.00E+19,1.00E+19,1,1,1.21E+22,1.21E+22,2000,2000,1.00E-10,1.00E-10,12,0,1.00E-100,1.00E-06,1.00E+100,,,0.85,0.95,0.7,,,,
active,Si,6.25E-05,500,0.7,0,-1.12,-0.9,-0.56,1.00E+19,1.00E+19,1,1,1.21E+22,1.21E+22,2000,2000,1.00E-10,1.00E-10,12,0,1.00E-100,1.00E+100,1.00E+100,,,1,0.9,0.7,,,,
active,Si,6.25E-05,500,0.7,0,-1.12,-0.22,-0.56,1.00E+19,1.00E+19,1,1,1.21E+22,1.21E+22,2000,2000,1.00E-10,1.00E-10,12,0,1.00E-100,1.00E+100,1.00E+100,,,1,0.9,0.7,,,,
active,Si,1.00E-02,500,0.7,0,-1.12,-0.22,-0.56,1.00E+19,1.00E+19,1,1,1.21E+22,1.21E+22,2000,2000,1.00E-10,1.00E-10,12,0,1.00E-100,1.00E+100,1.00E-06,,,0.8,0.9,1,,,,
electrode,,,,,,,-0.22,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,
