layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.1,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,Beer-Lambert,erf-linear,right,1.00E+00
layer,SiO2,1.00E-05,500,0.8,-2.7,-5.2,-5.1,-3.95,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,5.00E-04,5.00E-04,0.00E+00,0.00E+00,3.50E+00,0.00E+00,1.00E-12,1.00E-09,1.00E-09,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.8,-3.8,-5.4,-4.6,-4.6,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+21,1.00E+21,1.00E+07,1.00E+07,0,0,2.50E+01,0,0.00E+00,,,5.00E+01,5.00E+01,auto,1,0.9,0.7,,,,
active,MAPICl,4.00E-05,500,0.8,-3.8,-5.4,-4.6,-4.6,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+21,1.00E+21,1.00E+00,1.00E+00,1.00E-10,1.00E-10,2.50E+01,0,5.00E-11,5.00E-08,5.00E-08,,,,1,1,1,,,,
interface,,2.00E-07,100,0.8,-3.8,-5.4,-4.6,-4.6,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+21,1.00E+21,1.00E+07,1.00E+07,0,0,2.50E+01,0,0.00E+00,,,5.00E+01,5.00E+01,auto,1,0.9,0.7,,,,
layer,SiO2,1.00E-05,500,0.8,-4,-7,-4.7,-5.5,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,1.00E+00,1.00E+00,0.00E+00,0.00E+00,4.00E+01,0.00E+00,1.00E-12,1.00E-09,1.00E-09,,,,0.8,0.9,1,,,,
electrode,,,,,,,-4,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
