layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.05,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,Beer-Lambert,erf-linear,left,1.00E+00
layer,PEDOT,2.00E-06,160,0.7,-2.3,-5.15,-3.8,-3.8,1.00E+20,1.00E+20,1.00E+18,1.00E+18,1.21E+21,1.21E+21,1.00E-04,1.00E-04,0.00E+00,0.00E+00,3.50E+00,1.40E+21,1.00E-12,1.00E-09,1.00E-09,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+18,1.00E+18,1.00E+18,1.00E+18,1.21E+21,1.21E+21,1.00E+03,1.00E+03,0,0,2.30E+01,0,0.00E+00,,,1.00E+02,1.00E+07,auto,1,0.9,0.7,,,,
active,MAPICl,4.00E-05,400,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+18,1.00E+18,1.00E+18,1.00E+18,1.21E+21,1.21E+21,2.50E+00,2.50E+00,1.00E-10,1.00E-10,2.30E+01,4.00E+21,5.00E-11,1.00E-07,1.00E-07,,,,1,1,1,,,,
interface,,2.00E-07,100,0.7,-3.8,-5.4,-4.6,-4.6,1.00E+18,1.00E+18,1.00E+18,1.00E+18,1.21E+21,1.21E+21,1.00E+03,1.00E+03,0,0,2.30E+01,0,0.00E+00,,,1.00E+07,1.00E+03,auto,1,0.9,0.7,,,,
layer,PCBM,4.00E-06,160,0.6,-3.6,-5.8,-3.8,-3.8,1.00E+20,1.00E+20,1.00E+18,1.00E+18,1.21E+21,1.21E+21,1.00E-03,1.00E-03,0.00E+00,0.00E+00,4.50E+00,0.00E+00,1.00E-12,1.00E-09,1.00E-09,,,,0.8,0.9,1,,,,
electrode,,,,,,,-4.25,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
