layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.2,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,Beer-Lambert,erf-linear,left,1.00E+00
layer,PEDOT,3.00E-06,160,0.7,-3,-5.5,-4.25,-4.25,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.21E+22,1.21E+22,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.00E+00,0.00E+00,1.00E-12,1.00E-09,1.00E-09,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.7,-3.9,-5.5,-4.7,-4.7,1.00E+18,1.00E+18,5.00E+16,5.00E+16,1.21E+22,1.21E+22,1.00E+03,1.00E+03,0,0,2.50E+01,0.00E+00,0.00E+00,,,1.00E+02,1.00E+07,auto,1,0.9,0.7,,,,
active,MAPICl,5.00E-05,400,0.7,-3.9,-5.5,-4.7,-4.7,1.00E+18,1.00E+18,5.00E+16,5.00E+16,1.21E+22,1.21E+22,1.00E+00,1.00E+00,1.00E-09,1.00E-09,2.50E+01,0.00E+00,5.00E-11,1.00E-07,1.00E-07,,,,1,1,1,,,,
interface,,2.00E-07,100,0.7,-3.9,-5.5,-4.7,-4.7,1.00E+18,1.00E+18,5.00E+16,5.00E+16,1.21E+22,1.21E+22,1.00E+03,1.00E+03,0,0,2.50E+01,0.00E+00,0.00E+00,,,1.00E+07,1.00E+02,auto,1,0.9,0.7,,,,
layer,PCBM,3.00E-06,160,0.7,-3.9,-6.4,-5.15,-5.15,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.21E+22,1.21E+22,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.00E+00,0.00E+00,1.00E-12,1.00E-09,1.00E-09,,,,0.8,0.9,1,,,,
electrode,,,,,,,-4.2,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
