layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-4.9,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,Beer-Lambert,erf-linear,right,1.00E+00
layer,SiO2,1.00E-05,500,0.8,-2.6,-5,-4.9,-3.85,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,1.00E-03,1.00E-03,0.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E-20,1.00E+00,1.00E+00,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.8,-3.8,-5.4,-4.6,-4.6,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,1.00E+06,1.00E+06,0,0,2.50E+01,0,0.00E+00,,,1.00E+00,1.00E+00,auto,1,0.9,0.7,,,,
active,MAPICl,4.00E-05,500,0.8,-3.8,-5.4,-4.6,-4.6,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,1.00E+00,1.00E+00,1.00E-11,1.00E-11,2.50E+01,0,5.00E-11,5.00E-08,5.00E-08,,,,1,1,1,,,,
interface,,2.00E-07,100,0.8,-3.8,-5.4,-4.6,-4.6,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,1.00E+06,1.00E+06,0,0,2.50E+01,0,0.00E+00,,,1.00E+00,1.00E+00,auto,1,0.9,0.7,,,,
layer,SiO2,1.00E-05,500,0.8,-4.2,-6.5,-4.3,-5.25,5.00E+18,5.00E+18,1.00E+18,1.00E+18,1.00E+22,1.00E+22,1.00E-02,1.00E-02,0.00E+00,0.00E+00,8.00E+01,0.00E+00,1.00E-20,1.00E+00,1.00E+00,,,,0.8,0.9,1,,,,
electrode,,,,,,,-4.3,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
