layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.05,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,Beer-Lambert,erf-linear,left,1.00E+00
layer,SiO2,4.00E-06,500,0.8,-2.1,-5.15,-5.05,-3.9,1.00E+19,1.00E+19,5.00E+17,5.00E+17,1.00E+21,1.00E+21,1.00E-03,1.00E-03,0.00E+00,0.00E+00,1.00E+01,0,1.00E-12,1.00E-09,1.00E-09,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.8,-3.8,-5.4,-4.7,-4.7,5.00E+18,5.00E+18,5.00E+17,5.00E+17,1.00E+21,1.00E+21,1.00E+03,1.00E+03,0,0,2.50E+01,0,0.00E+00,,,1.00E+01,1.00E+01,auto,1,0.9,0.7,,,,
active,MAPI,4.90E-05,500,0.8,-3.8,-5.4,-4.7,-4.7,5.00E+18,5.00E+18,1.00E+17,1.00E+17,1.00E+21,1.00E+21,5.00E-01,5.00E-01,5.00E-10,5.00E-10,2.50E+01,0,1.00E-10,7.50E-08,7.50E-08,,,,1,1,1,,,,
active,MAPI,1.00E-06,500,0.8,-3.8,-5.4,-4.7,-4.7,5.00E+18,5.00E+18,1.00E+17,1.00E+17,1.00E+21,1.00E+21,5.00E-01,5.00E-01,5.00E-10,5.00E-10,2.50E+01,0,1.00E-10,7.50E-08,7.50E-08,,,,1,1,1,,,,
electrode,,,,,,,-4.15,,,,,,,,,,,,,,,,,1.00E+02,5.00E+02,,,,,,,,
