layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.3,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,1,erf-linear,left,1.00E+00
layer,SiO2,5.00E-06,500,0.7,-2.6,-5.6,-5.3,-4.1,5.00E+18,5.00E+18,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E+00,1.00E+00,0.00E+00,0.00E+00,2.50E+01,0,1.00E-20,1.00E+00,1.00E+00,,,,0.85,0.95,0.7,,,,
interface,,2.00E-07,100,0.7,-4,-5.6,-4.8,-4.8,5.00E+18,5.00E+18,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E+03,1.00E+03,0,0,2.50E+01,0,0.00E+00,,,1.00E-20,1.00E-20,R,1,0.9,0.7,,,,
active,MAPICl,3.75E-05,500,0.7,-4,-5.6,-4.8,-4.8,5.00E+18,5.00E+18,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E+00,1.00E+00,1.00E-09,1.00E-09,2.50E+01,0,5.00E-11,1.50E-07,1.50E-07,,,,1,1,1,,,,
interface,,2.00E-07,100,0.7,-4,-5.6,-4.8,-4.8,5.00E+18,5.00E+18,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E+03,1.00E+03,0,0,2.50E+01,0,0.00E+00,,,2.00E+00,2.00E+00,L,1,0.9,0.7,,,,
layer,PM6Y6,1.00E-05,500,0.7,-4.1,-5.2,-4.75,-4.75,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.00E+21,1.00E+21,5.00E-04,1.00E-04,0.00E+00,0.00E+00,3.50E+00,0,3.00E-11,1.00E+00,1.00E+00,,,,0.8,0.9,1,,,,
electrode,,,,,,,-4.2,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
