layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-4.9,,,,,,,,,,,,,,,,,1.00E+00,1.00E+07,,,,,1,erf-linear,right,1.00E+00
active,PM6Y6,5.00E-06,500,0.7,-3.2,-5,-4.1,-4.1,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.00E+21,1.00E+21,5.00E-03,5.00E-03,0.00E+00,0.00E+00,3.50E+00,0,1.00E-11,1.00E+00,1.00E+00,,,,1,1,1,,,,
electrode,,,,,,,-4.5,,,,,,,,,,,,,,,,,1.00E+07,1.00E+00,,,,,,,,
