layer_type,stack,thickness,layer_points,xmesh_coeff,EA,IP,E0,Et_CB,Et_VB,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,Nt_CB,Nt_VB,E_UCB,E_UVB,Cn_CB,Cp_CB,Cn_VB,Cp_VB,sn,sp,vsr_zone_loc,Red,Green,Blue,sn_l,sn_r,sp_l,sp_r,Phi_left,Phi_right,OM,xmesh_type,side,N_ionic_species
layer,Spiro,2.00E-05,200,0.7,-2.8,-4.9,-4.8,-4.75,-4.75,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,0.02,0.02,0.00E+00,0.00E+00,4.00E+00,0.00E+00,3.18E-11,1.00E+14,1.00E+16,8.00E-02,8.00E-02,1.10E-11,2.30E-10,5.20E-13,2.60E-10,,,,0.85,0.95,0.7,1.00E+07,1.00E+07,1.00E+07,1.00E+07,-4.80E+00,-4.20E+00,1.00E+00,5.00E+00,2.00E+00,1.00E+00
interface,Interface 1,1.00E-07,60,0.7,-3.8,-5.4,-4.6,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+04,1.00E+04,0.00E+00,0.00E+00,2.30E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-02,8.00E-02,1.00E-100,1.00E-100,1.00E-100,1.00E-100,1.00E+00,1.00E+07,auto,1,0.9,0.7,,,,,,,,,,
active,MAPICl,4.00E-05,400,0.7,-3.8,-5.4,-4.6,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,2.00E+01,2.00E+01,1.00E-10,1.00E-10,2.30E+01,2.64E+21,3.60E-12,1.00E+12,1.00E+12,8.00E-02,8.00E-02,1.10E-11,2.30E-10,5.20E-13,2.60E-10,,,,1,1,1,,,,,,,,,,
interface,Interface 2,1.00E-07,60,0.7,-3.8,-5.4,-4.6,-4.6,-4.6,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E+04,1.00E+04,0.00E+00,0.00E+00,2.30E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-02,8.00E-02,1.00E-100,1.00E-100,1.00E-100,1.00E-100,1.00E+07,1.00E+00,auto,1,0.9,0.7,,,,,,,,,,
layer,TiO2,1.00E-05,120,0.7,-4.1,-6.4,-4.2,-4.25,-4.25,1.00E+19,1.00E+19,1.00E+18,1.00E+18,1.21E+22,1.21E+22,1.00E-01,1.00E-01,0.00E+00,0.00E+00,1.20E+01,0.00E+00,1.00E-12,1.00E+18,1.00E+12,6.00E-02,6.00E-02,1.10E-11,2.30E-10,5.20E-13,2.60E-10,,,,0.8,0.9,1,,,,,,,,,,
