layer_type,material,thickness,layer_points,xmesh_coeff,Phi_EA,Phi_IP,EF0,Et,Nc,Nv,Ncat,Nani,c_max,a_max,mu_n,mu_p,mu_c,mu_a,epp,g0,B,taun,taup,sn,sp,vsr_zone_loc,Red,Green,Blue,optical_model,xmesh_type,side,N_ionic_species
electrode,,,,,,,-5.2,,,,,,,,,,,,,,,,,1.00E-01,1.00E+07,,,,,1,erf-linear,left,1.00E+00
active,MAPICl,4.00E-05,500,0.7,-3.95,-5.4,-4.14,-4.675,2.50E+18,2.50E+18,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1,1,1.00E-09,0.00E+00,2.50E+01,0,1.00E-12,2.50E-06,2.50E-06,,,,1,1,1,,,,
interface,,2.00E-07,100,0.7,-3.95,-5.4,-4.14,-4.675,2.50E+18,2.50E+18,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E+03,1.00E+03,0,0,2.50E+01,0,0.00E+00,,,1.00E+07,10,auto,1,0.9,0.7,,,,
layer,SiO2,2.50E-07,100,0.9,-3.95,-5.95,-4.15,-4.95,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.50E+00,0,1.00E-15,1.00E+02,1.00E+02,,,,0,1,1,,,,
layer,SiO2,2.50E-07,100,0.9,-3.95,-5.95,-5.75,-4.95,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.50E+00,0,1.00E-15,1.00E+02,1.00E+02,,,,0,1,1,,,,
layer,SiO2,1.80E-06,500,0.7,-3.95,-5.95,-4.95,-4.95,1.00E+20,1.00E+20,5.00E+16,5.00E+16,1.00E+21,1.00E+21,1.00E-03,1.00E-03,0.00E+00,0.00E+00,3.50E+00,0,1.00E-12,1.00E+00,1.00E+00,,,,0.8,0.9,1,,,,
electrode,,,,,,,-4.1,,,,,,,,,,,,,,,,,1.00E+07,1.00E+07,,,,,,,,
